Age,Gender,Education,Income Level,Emp Experience,Home Ownership,Loan Amount,Loan Intent,Interest Rate,Credit Score
26,female,High School,49000,2,Rent,1400,Medical,7.74,686
26,male,High School,49000,4,Rent,1400,Venture,11.86,611
21,female,Bachelor,34000,0,OTHER,3500,Medical,14.42,621
26,female,High School,44000,2,Rent,1400,Debt Settlement,11.49,650
26,male,High School,55000,3,Rent,1400,Debt Settlement,10.59,704
24,female,High School,34000,1,Mortgage,2000,Personal,14.27,622
26,female,Associate,34000,6,Own,2500,Venture,11.71,629
24,female,Bachelor,34000,6,Own,7000,Medical,7.9,525
23,male,Bachelor,52000,0,Rent,1400,Education,10,614
25,male,Bachelor,34000,0,Mortgage,11500,Home Renovate,6.03,637
22,male,High School,34000,1,Mortgage,8400,Debt Settlement,7.51,559
24,male,Bachelor,34000,6,Mortgage,6000,Medical,15.62,617
24,female,Associate,151000,2,Rent,1400,Home Renovate,11.01,640
21,female,Associate,13000,0,Rent,1450,Medical,7.51,661
24,female,Associate,27000,0,Rent,1450,Medical,11.01,581
23,male,Master,37000,0,Rent,1450,Personal,15.58,609
24,male,Bachelor,57000,0,Rent,1450,Medical,10.74,666
23,male,Master,34000,3,Mortgage,9800,Education,7.29,624
26,female,High School,68000,6,Rent,1450,Medical,14.27,578
22,female,Bachelor,122000,0,Rent,1475,Education,5.79,699
24,male,Associate,34000,0,Rent,1500,Medical,16.29,681
22,female,High School,34000,0,Rent,1500,Debt Settlement,12.73,642
25,male,High School,34000,2,Rent,1500,Medical,11.89,588
23,female,Bachelor,35000,3,Rent,1500,Personal,14.17,666
24,male,Master,34000,6,Own,10000,Medical,11.01,645
22,male,Bachelor,35000,4,Rent,1500,Education,11.01,521
22,female,Associate,34000,0,Own,9600,Education,8.59,661
23,male,Master,34000,1,Mortgage,1200,Education,13.92,655
24,male,Associate,35000,0,Rent,1500,Education,11.46,660
23,female,High School,35000,3,Rent,1500,Medical,7.74,648
23,female,Master,37000,0,Rent,1500,Debt Settlement,7.51,640
21,female,Bachelor,37000,0,Rent,1500,Debt Settlement,7.29,679
25,male,Associate,34000,0,Own,14125,Venture,6.99,684
24,male,Associate,37000,1,Rent,1500,Debt Settlement,14.22,526
25,male,Bachelor,37000,3,Rent,1500,Education,16.82,652
26,male,Master,37000,2,Rent,1500,Home Renovate,14.61,588
21,male,Associate,37000,0,Rent,1500,Debt Settlement,13.92,622
23,male,Associate,38000,0,Rent,1500,Debt Settlement,8.94,538
26,male,Bachelor,35000,2,Mortgage,6000,Debt Settlement,7.88,591
25,female,Bachelor,39000,2,Rent,1500,Venture,11.12,592
25,female,High School,39000,3,Rent,1500,Venture,10.99,690
25,female,Associate,40000,2,Rent,1500,Debt Settlement,7.49,671
23,male,Bachelor,35000,0,Own,4800,Personal,15.99,674
25,female,Associate,40000,2,Rent,1500,Debt Settlement,7.29,581
24,female,Master,39000,3,Rent,1500,Education,13.92,662
24,male,Master,40000,2,Rent,1500,Medical,9.91,587
25,female,High School,41000,2,Rent,1500,Venture,11.48,563
22,female,Associate,34000,0,Own,5000,Medical,5.79,546
23,male,Bachelor,35000,0,Own,4200,Education,14.72,632
23,male,Master,35000,0,Own,9250,Medical,10.75,668
22,female,Associate,35000,0,Mortgage,3250,Medical,15.21,645
22,female,High School,35000,0,Mortgage,5500,Medical,10.38,582
26,male,Bachelor,42000,2,Rent,1500,Medical,19.41,671
23,female,Associate,42000,0,Rent,1500,Education,6.99,642
25,female,Bachelor,43000,1,Rent,1500,Personal,10.99,656
21,female,High School,43000,0,Rent,1500,Education,5.79,659
25,male,Associate,43000,2,Rent,1500,Medical,10,607
23,male,Bachelor,43000,0,Rent,1500,Debt Settlement,8.88,683
21,female,Associate,35000,0,Mortgage,10000,Education,9.63,638
24,female,High School,43000,3,Rent,1500,Education,11.01,604
23,male,High School,36000,3,Rent,1500,Debt Settlement,14.59,605
24,female,Bachelor,44000,0,Rent,1500,Education,15.23,711
24,male,Associate,44000,0,Rent,1500,Personal,10,646
22,female,Associate,34000,0,Own,12300,Venture,6.62,555
21,female,Associate,44000,0,Rent,1500,Education,10.37,656
24,female,Associate,38000,3,Rent,1500,Home Renovate,15.99,617
22,female,High School,47000,0,Rent,1500,Education,13.22,605
25,female,High School,34000,2,Mortgage,9600,Medical,6.03,673
23,female,Associate,35000,2,Mortgage,9500,Debt Settlement,15.62,630
23,male,Bachelor,34000,0,Mortgage,2500,Medical,5.99,664
23,male,Bachelor,47000,0,Rent,1500,Venture,8.32,682
23,female,High School,35000,0,Own,7000,Venture,9.99,570
24,female,Bachelor,48000,1,Rent,1500,Medical,15.62,664
25,female,Bachelor,42000,1,Rent,1500,Medical,16.82,559
23,male,Master,49000,3,Rent,1500,Venture,13.99,660
21,female,Bachelor,35000,0,Mortgage,1000,Education,12.99,645
22,female,Associate,35000,0,Mortgage,10000,Personal,10.99,586
24,male,High School,42000,2,Rent,1500,Debt Settlement,8.94,685
21,male,Associate,49000,1,Rent,1500,Education,12.18,582
23,male,Master,49000,0,Rent,1500,Venture,11.78,676
22,male,Bachelor,43000,3,Rent,1500,Debt Settlement,12.23,622
26,male,Bachelor,35000,1,Mortgage,4500,Personal,11.01,598
23,male,Associate,35000,1,Mortgage,8400,Venture,10.99,661
21,male,Associate,50000,0,Rent,1500,Education,11.01,666
21,male,Master,51000,0,Rent,1500,Education,5.79,696
22,female,High School,44000,0,Rent,1500,Education,13.16,613
23,male,High School,52000,0,Rent,1500,Debt Settlement,10.71,641
25,male,Bachelor,52000,6,Rent,1500,Education,7.49,650
23,male,Associate,35000,1,Mortgage,4000,Education,6.92,691
23,male,High School,54000,0,Rent,1500,Education,11.63,454
22,male,Master,35000,2,Mortgage,8500,Education,6.17,608
24,female,Master,47000,2,Rent,1500,Education,8.49,607
23,female,Bachelor,34000,0,Mortgage,5225,Home Renovate,14.84,601
23,male,High School,55000,2,Rent,1500,Education,7.51,640
26,male,High School,55000,1,Rent,1500,Venture,10.25,600
25,male,Bachelor,59000,2,Rent,1500,Medical,10.36,690
26,female,Bachelor,51000,4,Rent,1500,Venture,14.61,555
22,male,Bachelor,52000,1,Rent,1500,Medical,17.19,694
24,male,High School,59000,0,Rent,1500,Medical,14.35,617
24,female,High School,61000,2,Rent,1500,Debt Settlement,14.26,549
24,male,Master,62000,3,Rent,1500,Debt Settlement,11.01,696
25,male,High School,62000,3,Rent,1500,Medical,11.89,683
24,male,Bachelor,63000,4,Rent,1500,Home Renovate,12.61,592
26,male,Bachelor,63000,4,Rent,1500,Venture,13.85,591
25,male,Bachelor,35000,2,Own,12200,Venture,12.53,636
22,male,Associate,35000,3,Mortgage,10750,Debt Settlement,11.14,584
21,male,Master,63000,0,Rent,1500,Education,11.99,711
24,male,High School,66000,0,Rent,1500,Medical,14.17,591
25,female,Bachelor,35000,2,Mortgage,5000,Education,8,670
26,male,High School,34000,4,Own,4000,Personal,15.37,660
23,male,Associate,66000,1,Rent,1500,Personal,9.62,614
25,male,Bachelor,34000,2,Mortgage,4000,Medical,7.68,680
26,female,Associate,66000,5,Rent,1500,Home Renovate,13.98,671
24,female,Bachelor,34000,4,OTHER,9000,Education,10.83,562
26,female,Bachelor,67000,4,Rent,1500,Medical,12.84,650
25,female,High School,69000,3,Rent,1500,Home Renovate,11.01,649
21,female,Bachelor,62000,0,Rent,1500,Home Renovate,15.58,701
22,male,Associate,70000,0,Rent,1500,Medical,11.36,654
24,female,Associate,70000,0,Rent,1500,Debt Settlement,10.75,600
22,female,High School,71000,0,Rent,1500,Education,5.42,539
22,female,Master,73000,1,Rent,1500,Medical,13.57,643
25,female,Bachelor,77000,1,Rent,1500,Debt Settlement,12.42,690
25,male,Associate,76000,2,Rent,1500,Venture,7.49,649
22,male,High School,86000,0,Rent,1500,Education,6.99,569
24,female,Bachelor,85000,0,Rent,1500,Personal,14.42,572
25,male,Associate,35000,4,Own,1000,Medical,9.63,633
23,female,Associate,35000,3,Mortgage,7000,Personal,11.01,614
26,female,Bachelor,116000,3,Rent,1500,Personal,11.01,641
23,male,High School,187000,2,Rent,1500,Medical,11.01,539
23,female,Bachelor,13000,3,Rent,1600,Debt Settlement,10.36,635
24,male,High School,35000,1,Mortgage,6000,Medical,9.99,604
21,female,High School,15000,0,Rent,1600,Education,10.59,638
24,female,Master,18000,1,Rent,1600,Personal,18.25,646
24,male,Bachelor,19000,0,Rent,1600,Medical,7.51,647
21,male,Associate,19000,0,Rent,1600,Education,12.69,630
22,male,Bachelor,27000,0,Rent,1600,Personal,11.01,547
24,male,Bachelor,35000,3,Own,3500,Venture,14.59,578
23,male,High School,28000,1,Rent,1600,Personal,13.06,666
22,female,Associate,25000,0,Rent,1675,Education,7.74,666
21,male,Bachelor,35000,0,Own,4800,Education,12.87,581
22,female,Associate,35000,0,Mortgage,8500,Debt Settlement,7.68,626
23,female,Bachelor,31000,0,Rent,1675,Medical,11.11,617
23,female,Master,36000,0,Rent,1675,Personal,15.21,621
23,female,Associate,56000,3,Rent,1675,Personal,6.54,611
24,male,Bachelor,73000,2,Rent,1675,Home Renovate,6.54,694
21,female,High School,35000,0,Mortgage,2000,Personal,7.29,571
23,male,Bachelor,22000,0,Rent,1700,Personal,11.11,611
23,male,Associate,23000,0,Rent,1700,Debt Settlement,9.99,671
23,female,High School,35000,0,Mortgage,10000,Education,10.75,664
23,female,Associate,55000,0,Rent,1700,Debt Settlement,14.72,605
21,male,Bachelor,36000,1,Mortgage,3000,Education,10.75,649
21,male,Associate,12000,0,Rent,1750,Education,8.94,707
21,male,Associate,35000,0,Mortgage,8000,Education,8.9,571
26,male,Associate,35000,5,Own,6000,Education,8.9,583
26,female,Master,13000,3,Rent,1750,Venture,9.99,659
22,male,Master,36000,0,Own,8875,Education,8.9,580
22,male,High School,13000,2,Rent,1750,Debt Settlement,14.72,560
23,male,Associate,13000,4,Rent,1750,Debt Settlement,15.05,542
26,male,Master,36000,7,Mortgage,5150,Venture,6.62,667
25,male,High School,13000,2,Rent,1750,Venture,7.49,624
23,male,Master,22000,1,Rent,1750,Venture,10.95,632
26,male,High School,27000,4,Rent,1750,Medical,11.01,664
23,male,High School,28000,0,Rent,1750,Personal,15.7,544
26,female,Associate,117000,4,Rent,1750,Home Renovate,6.54,621
23,male,Associate,29000,1,Rent,1775,Education,6.99,628
21,female,Associate,49000,0,Rent,1775,Education,6.54,629
23,male,High School,55000,0,Rent,1775,Education,12.72,625
24,male,High School,35000,3,Mortgage,1400,Home Renovate,8.9,588
24,female,High School,18000,0,Rent,1800,Debt Settlement,6.92,659
23,male,Bachelor,36000,0,Mortgage,5000,Medical,11.99,679
24,male,Associate,36000,0,Mortgage,6075,Debt Settlement,8.49,573
24,male,Bachelor,36000,2,Mortgage,3500,Personal,9.99,670
21,female,Bachelor,22000,0,Rent,1800,Personal,6.62,643
23,male,Master,35000,0,Mortgage,10625,Medical,11.01,681
26,male,Associate,23000,6,Rent,1800,Venture,13.8,662
22,female,High School,23000,0,Rent,1800,Medical,12.18,678
24,female,Associate,35000,0,Own,7500,Education,8.49,664
22,female,Bachelor,36000,0,Mortgage,11500,Venture,11.01,550
22,female,High School,36000,1,Mortgage,10000,Medical,7.49,679
24,male,High School,26000,0,Rent,1800,Medical,10.65,674
21,female,Bachelor,36000,0,Mortgage,5000,Debt Settlement,7.49,659
22,female,Associate,35000,2,Own,10000,Debt Settlement,16.49,594
26,female,High School,28000,3,Rent,1800,Personal,8.49,513
23,female,High School,35000,0,Mortgage,6000,Medical,7.49,601
24,female,Bachelor,30000,2,Rent,1800,Medical,11.26,535
23,female,Master,31000,0,Rent,1800,Medical,12.69,571
25,male,High School,35000,1,Mortgage,1000,Education,5.42,625
22,female,Bachelor,36000,2,Own,2000,Personal,11.01,689
25,female,Associate,35000,3,Rent,1800,Medical,12.53,670
22,male,Bachelor,55000,0,Rent,1800,Venture,16.49,601
25,male,Associate,55000,1,Rent,1800,Debt Settlement,12.61,648
23,male,Bachelor,35000,0,Own,3000,Personal,11.11,654
23,male,Associate,35000,1,Mortgage,8400,Debt Settlement,9.63,665
26,male,Master,55000,2,Rent,1800,Medical,14.11,660
24,female,High School,35000,3,Own,6000,Venture,10.74,586
22,female,Bachelor,56000,3,Rent,1800,Venture,15.21,678
23,female,High School,59000,2,Rent,1800,Personal,11.49,622
21,male,Associate,59000,0,Rent,1800,Debt Settlement,13.35,701
23,male,Bachelor,62000,1,Rent,1800,Venture,16.02,653
21,female,Bachelor,36000,0,Mortgage,5500,Personal,13.23,651
22,male,Associate,69000,0,Rent,1800,Debt Settlement,14.27,526
22,male,High School,71000,0,Rent,1800,Personal,12.18,613
22,male,Associate,86000,0,Rent,1800,Education,11.12,657
22,male,Associate,89000,0,Rent,1800,Venture,11.41,657
26,female,Bachelor,91000,8,Rent,1800,Venture,9.25,644
24,male,Bachelor,91000,1,Rent,1800,Home Renovate,8.94,680
24,male,Master,36000,2,Mortgage,5500,Debt Settlement,11.01,554
21,male,Master,18000,1,Rent,1825,Venture,15.62,643
22,male,High School,35000,1,Mortgage,14500,Personal,9.88,665
25,male,Associate,24000,0,Rent,1825,Personal,12.68,594
25,female,Master,35000,2,Mortgage,6250,Home Renovate,10.25,581
24,male,Associate,43000,1,Rent,1850,Education,7.12,684
21,male,Associate,17000,0,Rent,1875,Debt Settlement,6.99,630
24,female,Bachelor,19000,4,Rent,1875,Education,13.49,645
26,male,Bachelor,24000,6,Rent,1900,Debt Settlement,11.01,588
22,male,High School,32000,0,Rent,1900,Debt Settlement,7.29,571
24,male,High School,39000,0,Rent,1900,Medical,13.49,649
23,male,Master,37000,0,Rent,1925,Personal,12.18,592
25,male,Bachelor,52000,5,Rent,1925,Education,6.17,642
23,male,Bachelor,21000,2,Rent,1950,Debt Settlement,10.37,665
22,female,Associate,36000,2,Mortgage,2000,Medical,8.59,622
24,male,High School,39000,1,Rent,1950,Medical,13.11,576
24,male,High School,36000,1,Mortgage,5500,Debt Settlement,12.98,575
24,female,Associate,36000,2,Mortgage,10000,Personal,11.01,661
24,female,Bachelor,13000,1,Rent,2000,Debt Settlement,10.25,623
23,male,Master,36000,1,Mortgage,10000,Education,8,621
23,male,Bachelor,15000,0,Rent,2000,Education,7.74,528
25,male,Associate,15000,2,Rent,2000,Home Renovate,11.89,608
21,female,Master,18000,0,Rent,2000,Medical,11.01,539
23,male,High School,36000,0,Mortgage,11500,Debt Settlement,7.9,669
24,female,Master,18000,0,Rent,2000,Venture,10.65,668
26,male,Bachelor,18000,2,Rent,2000,Personal,17.49,651
21,female,High School,36000,0,Mortgage,4200,Personal,11.99,554
26,female,Master,18000,1,Rent,2000,Personal,10.37,640
21,male,Bachelor,18000,0,Rent,2000,Debt Settlement,5.79,635
26,male,Master,18000,3,Rent,2000,Medical,6.92,646
26,male,Master,36000,4,Mortgage,7200,Home Renovate,8.49,669
26,male,Bachelor,18000,4,Rent,2000,Debt Settlement,15.58,639
25,female,Associate,19000,1,Rent,2000,Medical,7.88,597
21,male,Associate,20000,0,Rent,2000,Medical,7.9,602
24,male,Bachelor,20000,2,Rent,2000,Personal,15.05,603
25,male,Master,20000,3,Rent,2000,Education,13.48,687
24,female,High School,22000,0,Rent,2000,Venture,10.37,658
25,female,Associate,23000,0,Rent,2000,Debt Settlement,7.51,685
23,male,Associate,23000,2,Rent,2000,Education,14.79,651
21,male,High School,23000,0,Rent,2000,Education,5.42,462
26,male,Bachelor,23000,1,Rent,2000,Education,13.3,484
22,male,Associate,24000,2,Rent,2000,Venture,14.22,641
24,male,Bachelor,36000,4,Mortgage,20000,Home Renovate,10.62,717
24,female,Bachelor,24000,2,Rent,2000,Medical,13.49,622
23,female,Associate,24000,0,Rent,2000,Education,10.59,535
26,male,Bachelor,24000,5,Rent,2000,Medical,6.17,685
22,male,High School,24000,2,Rent,2000,Debt Settlement,7.49,696
21,male,High School,25000,0,Rent,2000,Medical,11.01,527
26,male,High School,25000,3,Rent,2000,Education,8.59,662
23,male,Associate,36000,0,Mortgage,6000,Medical,11.99,632
22,male,High School,36000,1,Mortgage,5000,Venture,9.25,576
22,female,Master,36000,0,Mortgage,2500,Education,6.91,663
22,female,Bachelor,27000,2,Rent,2000,Education,14.22,690
23,male,High School,36000,3,Own,2000,Education,13.16,548
21,female,Associate,27000,1,Rent,2000,Debt Settlement,11.71,566
22,male,High School,27000,0,Rent,2000,Debt Settlement,16.89,647
23,male,Bachelor,28000,0,Rent,2000,Venture,13.99,727
22,female,Associate,28000,1,Rent,2000,Venture,7.29,604
23,male,High School,27000,0,Rent,2000,Education,10.39,654
21,female,Associate,29000,1,Rent,2000,Medical,13.11,605
22,male,Bachelor,29000,0,Rent,2000,Home Renovate,11.89,651
24,male,Master,29000,2,Rent,2000,Medical,11.01,666
24,male,Bachelor,30000,4,Rent,2000,Home Renovate,12.69,650
25,female,Associate,30000,4,Rent,2000,Medical,16.59,612
21,female,Associate,30000,0,Rent,2000,Personal,18.39,638
23,male,High School,36000,1,Own,6400,Education,8.94,625
23,female,Bachelor,30000,1,Rent,2000,Education,12.61,676
22,female,Master,36000,0,Mortgage,8875,Medical,15.68,711
25,male,Master,30000,0,Rent,2000,Personal,10.38,643
23,female,Bachelor,30000,0,Rent,2000,Education,14.35,588
22,female,Master,30000,1,Rent,2000,Education,13.11,645
22,female,High School,36000,0,Own,1800,Medical,5.42,650
24,male,Associate,36000,4,Mortgage,2500,Personal,6.76,549
24,male,Associate,36000,0,Mortgage,11000,Personal,11.71,603
21,female,Master,30000,0,Rent,2000,Education,11.14,599
25,female,Associate,36000,3,Mortgage,10000,Debt Settlement,7.74,663
24,female,Master,30000,0,Rent,2000,Home Renovate,14.61,629
24,male,Associate,30000,0,Rent,2000,Venture,16,601
22,female,High School,30000,1,Rent,2000,Education,11.36,666
22,female,Associate,31000,2,Rent,2000,Education,13.23,617
24,female,Master,31000,2,Rent,2000,Personal,6.62,659
25,male,High School,31000,1,Rent,2000,Venture,9.91,584
24,male,Master,31000,3,Rent,2000,Debt Settlement,14.96,568
21,female,Associate,31000,0,Rent,2000,Education,13.47,637
22,female,Bachelor,37000,0,Own,6000,Venture,7.49,590
25,female,Associate,32000,4,Rent,2000,Medical,12.99,698
21,female,Master,36000,0,Mortgage,5000,Debt Settlement,13.57,624
23,male,Bachelor,36000,0,OTHER,3000,Venture,9.32,578
23,male,High School,33000,0,Rent,2000,Debt Settlement,13.61,629
23,male,Associate,34000,3,Rent,2000,Debt Settlement,13.99,637
22,male,Master,36000,1,Rent,2000,Medical,8.49,688
26,male,Master,37000,5,Rent,2000,Education,11.71,716
25,female,Associate,37000,0,Rent,2000,Medical,12.42,591
21,female,Bachelor,37000,0,Rent,2000,Education,13.43,540
23,male,Master,37000,1,Mortgage,4750,Debt Settlement,14.46,715
24,female,Bachelor,37000,2,Rent,2000,Debt Settlement,7.66,684
24,female,Associate,37000,2,Rent,2000,Medical,20,675
22,male,Associate,37000,0,Mortgage,5400,Education,12.84,476
23,female,High School,99000,2,Rent,15000,Home Renovate,18.25,595
22,male,Bachelor,86000,0,Rent,15000,Medical,16.77,673
25,male,Bachelor,115000,0,Rent,15000,Venture,12.42,531
23,male,Master,115000,0,Rent,15000,Education,9.88,511
23,male,Associate,115000,1,Rent,15000,Venture,15.05,596
25,male,Bachelor,37000,5,Mortgage,5000,Venture,6.03,663
25,female,Master,37000,3,Mortgage,6500,Debt Settlement,14.27,678
22,female,Bachelor,37000,0,Own,8000,Education,13.49,646
23,female,High School,101000,0,Rent,15000,Debt Settlement,8.49,636
25,male,Associate,117000,3,Rent,15000,Education,8.88,515
26,female,High School,102000,3,Rent,15000,Debt Settlement,16,629
25,male,Associate,116000,0,Rent,15000,Medical,11.58,618
25,female,Associate,118000,5,Rent,15000,Education,7.49,645
23,female,Associate,120000,0,Rent,15000,Personal,6.99,631
26,male,Associate,121000,4,Rent,15000,Venture,13.49,645
21,male,High School,37000,0,Mortgage,7125,Medical,7.51,576
24,female,Master,121000,0,Rent,15000,Medical,7.49,673
26,male,High School,121000,1,Rent,15000,Education,6.99,664
24,female,Associate,107000,1,Rent,15000,Home Renovate,9.99,642
25,male,High School,38000,6,Mortgage,3600,Education,12.42,662
26,male,Bachelor,121000,3,Rent,15000,Debt Settlement,14.26,696
24,female,Associate,121000,0,Rent,15000,Venture,11.89,652
24,male,Bachelor,122000,2,Rent,15000,Home Renovate,14.42,648
24,male,Bachelor,123000,1,Rent,15000,Home Renovate,14.22,648
23,male,Bachelor,37000,1,Own,5000,Personal,6.62,697
24,male,Associate,127000,1,Rent,15000,Debt Settlement,10.95,607
23,female,Bachelor,128000,2,Rent,15000,Venture,15.95,667
21,male,Associate,37000,0,Mortgage,2400,Education,11.71,622
25,female,Bachelor,132000,3,Rent,15000,Education,9.63,649
24,male,Associate,132000,1,Rent,15000,Education,10.65,687
23,female,High School,133000,0,Rent,15000,Education,12.18,521
24,male,High School,118000,0,Rent,15000,Debt Settlement,14.93,543
22,female,High School,134000,0,Rent,15000,Venture,10.62,655
24,male,Bachelor,143000,2,Rent,15000,Personal,12.68,678
25,female,Bachelor,145000,0,Rent,15000,Personal,7.51,647
24,male,Bachelor,145000,2,Rent,15000,Medical,11.01,630
23,male,Master,147000,1,Rent,15000,Medical,11.01,670
24,male,High School,148000,0,Rent,15000,Education,11.58,581
25,female,Associate,151000,4,Rent,15000,Venture,11.01,659
23,female,Bachelor,37000,5,Mortgage,4600,Medical,7.9,675
25,male,Associate,37000,4,Mortgage,8000,Venture,10.65,636
23,female,Associate,151000,2,Rent,15000,Education,12.99,674
26,male,Bachelor,143000,4,Rent,15000,Education,17.58,658
24,male,Associate,148000,3,Rent,15000,Personal,15.37,532
22,female,Bachelor,169000,0,Rent,15000,Venture,14.17,702
22,female,High School,37000,1,Mortgage,10000,Home Renovate,13.49,672
23,male,High School,37000,0,Mortgage,3800,Medical,18.64,642
21,male,Bachelor,37000,0,Mortgage,15000,Venture,7.51,670
26,male,High School,188000,1,Rent,15000,Debt Settlement,12.42,590
24,male,Associate,178000,1,Rent,15000,Debt Settlement,16.82,601
24,male,Bachelor,241000,3,Rent,15000,Education,10.59,689
26,male,High School,253000,7,Rent,15000,Personal,12.99,625
26,female,High School,37000,3,Mortgage,6500,Venture,6.62,633
25,male,Bachelor,199000,3,Rent,14950,Education,6.62,602
22,female,Master,42000,0,Rent,14900,Education,15.37,665
24,male,High School,67000,3,Rent,14900,Personal,11.83,598
22,male,Bachelor,71000,0,Rent,14900,Medical,13.57,682
21,female,Associate,37000,0,Mortgage,7600,Personal,6.03,505
25,male,Bachelor,39000,3,Rent,14850,Debt Settlement,8.9,527
25,female,Bachelor,35000,2,Rent,14800,Medical,7.49,448
23,female,Bachelor,37000,5,Mortgage,1000,Debt Settlement,6.62,702
23,female,High School,37000,0,Mortgage,4375,Venture,6.62,674
23,male,Bachelor,37000,0,Mortgage,1400,Debt Settlement,6.03,593
25,female,Associate,37000,0,Rent,2000,Medical,10.38,628
26,female,Bachelor,37000,0,Rent,2000,Venture,11.49,612
25,female,Master,37000,5,Rent,2000,Medical,14.22,675
24,male,High School,37000,2,Rent,2000,Medical,8.07,645
24,male,High School,38000,2,Rent,2000,Venture,16.29,577
24,male,Bachelor,38000,4,Rent,2000,Personal,14.65,626
24,female,High School,37000,4,Mortgage,17000,Debt Settlement,11.99,641
24,female,Associate,39000,0,Rent,2000,Education,10.59,618
23,female,High School,40000,3,Rent,2000,Venture,16.49,593
26,male,Bachelor,39000,4,Rent,2000,Debt Settlement,11.49,565
22,female,Bachelor,40000,2,Rent,2000,Education,12.53,655
24,male,High School,40000,2,Rent,2000,Education,10,597
23,male,Master,37000,1,Mortgage,13000,Venture,11.01,713
23,male,Bachelor,40000,4,Rent,2000,Education,6.03,691
21,male,Master,41000,0,Rent,2000,Home Renovate,12.61,657
22,male,High School,41000,0,Rent,2000,Debt Settlement,11.01,661
24,female,Master,49000,2,Rent,2000,Personal,11.99,657
24,female,Associate,49000,3,Rent,2000,Medical,11.01,652
21,male,Associate,49000,0,Rent,2000,Education,14.72,647
22,male,High School,61000,2,Rent,2000,Venture,11.01,659
25,male,High School,62000,3,Rent,2000,Education,9.88,650
24,male,Master,65000,0,Rent,2000,Home Renovate,10.36,654
24,female,Master,65000,3,Rent,2000,Personal,13.79,604
23,male,High School,67000,0,Rent,2000,Education,7.49,587
25,male,Associate,37000,7,Own,7000,Venture,11.01,635
24,female,Bachelor,69000,0,Rent,2000,Education,9.32,552
25,male,Master,69000,0,Rent,2000,Medical,11.36,692
26,female,High School,70000,7,Rent,2000,Medical,13.35,585
25,female,Associate,71000,4,Rent,2000,Personal,6.91,581
23,female,High School,73000,2,Rent,2000,Medical,13.06,663
22,female,Bachelor,73000,0,Rent,2000,Education,9.63,619
22,male,Bachelor,66000,2,Rent,2000,Medical,18.3,641
21,female,Associate,37000,0,Own,9000,Medical,5.99,551
26,male,High School,74000,5,Rent,2000,Medical,7.9,546
24,female,High School,75000,1,Rent,2000,Education,13.49,588
22,female,High School,76000,2,Rent,2000,Education,15.27,634
26,female,Bachelor,76000,6,Rent,2000,Personal,12.53,596
25,male,Bachelor,37000,4,Mortgage,10625,Education,16.49,655
24,female,High School,71000,2,Rent,2000,Medical,15.37,536
22,female,High School,79000,0,Rent,2000,Debt Settlement,14.27,620
26,female,Master,79000,1,Rent,2000,Medical,7.51,632
26,male,Associate,81000,1,Rent,2000,Education,11.01,648
23,female,Bachelor,85000,1,Rent,2000,Personal,7.66,564
23,male,Associate,37000,0,Mortgage,1200,Venture,9.67,606
22,male,Associate,37000,0,Mortgage,6000,Medical,11.99,626
26,male,Associate,85000,6,Rent,2000,Education,12.84,659
22,female,High School,37000,0,Mortgage,3000,Venture,11.49,589
24,female,Bachelor,85000,6,Rent,2000,Venture,8.7,609
22,male,High School,85000,0,Rent,2000,Venture,11.01,571
24,female,High School,91000,0,Rent,2000,Medical,9.99,651
22,male,Master,91000,0,Rent,2000,Education,13.43,664
23,female,Bachelor,37000,0,Own,7000,Venture,7.49,599
23,female,High School,91000,0,Rent,2000,Venture,5.79,694
24,male,Master,93000,2,Rent,2000,Education,11.01,721
21,female,Bachelor,37000,1,Mortgage,3000,Personal,5.99,645
26,male,Bachelor,37000,5,Mortgage,2000,Home Renovate,11.99,639
22,female,Master,37000,1,Mortgage,3000,Medical,14.79,700
22,female,High School,37000,0,Mortgage,13250,Education,10.99,621
23,female,High School,97000,0,Rent,2000,Venture,9.99,607
25,female,High School,97000,4,Rent,2000,Venture,11.49,617
23,female,Master,97000,0,Rent,2000,Personal,11.01,561
25,male,Associate,107000,1,Rent,2000,Venture,13.49,676
23,male,Associate,109000,2,Rent,2000,Personal,7.88,666
21,female,High School,121000,0,Rent,2000,Education,13.57,620
23,male,Bachelor,121000,2,Rent,2000,Medical,10.62,654
25,male,High School,123000,1,Rent,2000,Debt Settlement,7.29,542
26,female,Bachelor,131000,3,Rent,2000,Education,16.29,628
23,female,High School,37000,0,Mortgage,3800,Debt Settlement,5.79,644
22,male,Master,37000,0,Own,5125,Education,10,596
25,female,Bachelor,157000,0,Rent,2000,Home Renovate,6.99,601
22,female,High School,31000,1,Rent,2050,Venture,10.59,613
23,female,Master,37000,0,Mortgage,2400,Personal,11.01,710
23,male,High School,13000,0,Rent,2100,Venture,12.21,601
23,female,High School,15000,1,Rent,2100,Medical,8.94,597
22,male,High School,18000,2,Rent,2100,Home Renovate,14.83,591
24,male,Associate,19000,2,Rent,2100,Education,13.11,696
22,male,Bachelor,27000,0,Rent,2100,Medical,9.99,602
22,male,Master,37000,0,Own,12000,Education,7.66,555
25,female,High School,29000,2,Rent,2100,Education,13.48,585
22,female,Associate,30000,0,Rent,2100,Personal,12.21,611
22,female,Associate,37000,0,Mortgage,2000,Venture,5.42,579
